ID,Name,Category,Flavor,Price,Rating,Tags,Image URL
c89,"Royal Chocolate Drip Cake",Cakes,Chocolate,550,4.9,"Trending Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.50 AM (1).jpeg"
c90,"Classic Chocolate Truffle",Cakes,Chocolate,480,4.8,"Trending Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.50 AM.jpeg"
c91,"Ferrero Rocher Truffle Cake",Cakes,Chocolate,650,5,"Gourmet Cakes, Trending Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.51 AM (1).jpeg"
c92,"Princess Pink Doll Cake",Cakes,Vanilla,850,4.9,"Designer Cakes, Doll Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.51 AM (2).jpeg"
c93,"Lavender Royale Crown Cake",Cakes,Vanilla,750,4.7,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.51 AM.jpeg"
c94,"Double Chocolate Shavings Cake",Cakes,Chocolate,500,4.6,"Gourmet Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.52 AM (1).jpeg"
c95,"Royal Gulab Jamun Cake",Cakes,Vanilla,580,4.8,"Gourmet Cakes, Trending Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.52 AM (2).jpeg"
c96,"Classic Rasmalai Cake",Cakes,Vanilla,600,4.9,"Gourmet Cakes, Trending Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.52 AM (3).jpeg"
c97,"Welcome Baby Pink Cake",Cakes,Vanilla,800,4.7,"Designer Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.52 AM.jpeg"
c98,"Frozen Princess Elsa Cake",Cakes,Vanilla,780,4.8,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.53 AM (1).jpeg"
c99,"Dark Glaze Chocolate Truffle",Cakes,Chocolate,520,4.7,"Gourmet Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.53 AM (2).jpeg"
c100,"Grand Rose Anniversary Cake",Cakes,Vanilla,950,4.9,"Designer Cakes, Anniversary Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.53 AM.jpeg"
c101,"Racing Cars Birthday Cake",Cakes,Chocolate,890,4.8,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.54 AM (1).jpeg"
c102,"Red Rose Heart Anniversary Cake",Cakes,Red Velvet,680,5,"Anniversary Cakes, Designer Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.54 AM (2).jpeg"
c103,"Sweet 18 Heart Crown Cake",Cakes,Vanilla,720,4.6,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.54 AM (3).jpeg"
c104,"Elegant Holy Cross Cake",Cakes,Vanilla,780,4.7,"Designer Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.54 AM.jpeg"
c105,"Golden Butterfly Birthday Cake",Cakes,Vanilla,700,4.8,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.55 AM (1).jpeg"
c106,"Magical Frozen Snow Cake",Cakes,Vanilla,750,4.9,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.55 AM (2).jpeg"
c107,"Jungle Safari Animals Cake",Cakes,Chocolate,980,5,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.55 AM.jpeg"
c108,"Super Dad Chocolate Butterscotch",Cakes,Butterscotch,680,4.9,"Birthday Cakes, Designer Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.56 AM (1).jpeg"
c109,"Luxury Golden Chocolate Shards",Cakes,Chocolate,600,4.7,"Gourmet Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.56 AM (2).jpeg"
c110,"Classic Chocolate Drip Crown Cake",Cakes,Chocolate,560,4.8,"Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.56 AM (3).jpeg"
c111,"Traditional Rajbhog Cake",Cakes,,590,4.7,"Gourmet Cakes, Trending Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.57 AM (1).jpeg"
c112,"Baby Boy or Girl Shower Cake",Cakes,Chocolate Truffle,820,4.8,"Designer Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.57 AM (2).jpeg"
c113,"Papa Chocolate Rocher Cake",Cakes,Chocolate Truffle,580,4.9,"Birthday Cakes, Gourmet Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.57 AM (3).jpeg"
c114,"Spiderman City Adventure Cake",Cakes,Plain Vanilla,880,4.9,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.57 AM.jpeg"
c115,"Choco Crunch Shavings Cake",Cakes,Chocolate,490,4.7,"Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.58 AM (1).jpeg"
c116,"Imperial Chocolate Crown Cake",Cakes,,620,4.8,"Birthday Cakes, Gourmet Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.58 AM (2).jpeg"
c117,"Elegant Barbie Doll Blue Gown",Cakes,Vanilla,850,4.9,"Designer Cakes, Doll Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.58 AM (3).jpeg"
c118,"Chocolate Pink Butterfly Delight",Cakes,Chocolate,540,4.7,"Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.58 AM.jpeg"
c119,"Spiderman Hero Web Cake",Cakes,Vanilla,760,4.8,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.59 AM (1).jpeg"
c120,"Purple Swirl Cream Cake",Cakes,Vanilla,650,4.7,"Designer Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.59 AM (2).jpeg"
c121,"Red Velvet Crumbs Cake",Cakes,Red Velvet,600,4.9,"Trending Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.21.59 AM.jpeg"
c122,"Pink Drip Princess Castle Cake",Cakes,Vanilla,720,4.8,"Designer Cakes, Birthday Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.22.00 AM (1).jpeg"
c123,"Mini Chocolate Bento Cake",Cakes,Chocolate,320,4.9,"Bento Cakes, Trending Cakes, 60 Minutes Delivery","/cakes/Cake/WhatsApp Image 2026-06-28 at 10.22.00 AM.jpeg"
